Row	Sample Name	Transaction Id	Anon Student Id	Session Id	Time	Time Zone	Duration (sec)	Student Response Type	Student Response Subtype	Tutor Response Type	Tutor Response Subtype	Level (Sequence)	Level (Unit)	Level (Module)	Problem Name	Problem View	Problem Start Time	Step Name	Attempt At Step	Is Last Attempt	Outcome	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Action	Action	Input	Input	Feedback Text	Feedback Classification	Help Level	Total Num Hints	Condition Name	Condition Type	KC (Single-KC)	KC Category (Single-KC)	KC (Unique-step)	KC Category (Unique-step)	School	Class	CF (Original Problem Name)	CF (oli:activityGuid)	CF (oli:highStakes)	CF (oli:purpose)	CF (oli:resourceType)	CF (step_id)	CF (tool_event_time)	CF (tutor_event_time)
362	All Data	a0003318d07d4a2b29e5f461bd364245	Stu_005bf93515f4958ae28ccbafa6f28bba	c3557c910a0001dc61a5a40afdccce90	7/22/18 21:51	America/Los_Angeles	7	ATTEMPT		RESULT		Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_3	4	7/22/18 21:10	submit_btn2 ButtonPressed	1	1	CORRECT	ans_table_c2																								UpdateTextField		p|q		Good move				none	none	Single-KC		KC170		Carnegie Mellon University	csdmpf18						-1	2018-07-22 21:51:40.868 UTC	2018-07-22 21:51:40.887 UTC
363	All Data	cae55618516715e2aea19e0ef1fab3ef	Stu_005bf93515f4958ae28ccbafa6f28bba	c3557c910a0001dc61a5a40afdccce90	7/22/18 21:51	America/Los_Angeles	7	ATTEMPT	tutor-performed			Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_3	4	7/22/18 21:10					group3																								setVisible		TRUE						none	none					Carnegie Mellon University	csdmpf18							2018-07-22 21:51:40.884 UTC	
364	All Data	1c425f5fc6dffff9aa844945dfaf9e06	Stu_005bf93515f4958ae28ccbafa6f28bba	c3557c910a0001dc61a5a40afdccce90	7/22/18 21:51	America/Los_Angeles	7	ATTEMPT	tutor-performed			Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_3	4	7/22/18 21:10					ans_table_c2																								lock								none	none					Carnegie Mellon University	csdmpf18							2018-07-22 21:51:40.883 UTC	
365	All Data	fae1b0d6132a4a0f588de3f3ea38026c	Stu_005bf93515f4958ae28ccbafa6f28bba	c3557c910a0001dc61a5a40afdccce90	7/22/18 21:51	America/Los_Angeles	1	HINT_REQUEST		HINT_MSG		Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_3	4	7/22/18 21:10	undefined undefined	1	1	HINT	hint																								ButtonPressed		hint request		No hint is available at this step.		1	1	none	none	Single-KC		KC36		Carnegie Mellon University	csdmpf18						"[,]"	2018-07-22 21:51:41.851 UTC	2018-07-22 21:51:41.862 UTC
366	All Data	3ff71e4c9fdfd1529af70905366e5bc7	Stu_005bf93515f4958ae28ccbafa6f28bba	c3557c910a0001dc61a5a40afdccce90	7/22/18 21:51	America/Los_Angeles	1	ATTEMPT		RESULT		Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_3	4	7/22/18 21:10	done ButtonPressed	1	1	CORRECT	done																								ButtonPressed		-1						none	none	Single-KC		KC9		Carnegie Mellon University	csdmpf18						-1	2018-07-22 21:51:42.500 UTC	2018-07-22 21:51:42.512 UTC
1146	All Data	9bef62b5a40d661b8caf6b477c5ffb7e	Stu_019561ad86e30c64f126ab5954719c53	e63d770b0a0001dc49ba332799cf5ec1	7/29/18 14:23	America/New_York	5.333	ATTEMPT		RESULT		Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_2	2	7/29/18 14:10	submit_btn1 ButtonPressed	1	1	CORRECT	ans_table_c1																								UpdateTextField		~(p & q) & (~p | q)		Good move				none	none	Single-KC		KC149		Carnegie Mellon University	csdmpf18						-1	2018-07-29 14:23:08.84 UTC	2018-07-29 14:23:08.258 UTC
1147	All Data	e8d3aab49d455463cf4a4e7c53dedf0b	Stu_019561ad86e30c64f126ab5954719c53	e63d770b0a0001dc49ba332799cf5ec1	7/29/18 14:23	America/New_York	5.333	ATTEMPT	tutor-performed			Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_2	2	7/29/18 14:10					group2																								setVisible		TRUE						none	none					Carnegie Mellon University	csdmpf18							2018-07-29 14:23:08.241 UTC	
1148	All Data	b8675e8bae8e13ec659f67bbaa907f16	Stu_019561ad86e30c64f126ab5954719c53	e63d770b0a0001dc49ba332799cf5ec1	7/29/18 14:23	America/New_York	5.333	ATTEMPT	tutor-performed			Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_2	2	7/29/18 14:10					ans_table_c1																								lock								none	none					Carnegie Mellon University	csdmpf18							2018-07-29 14:23:08.231 UTC	
1149	All Data	7dc99e9b2ac9ff94af8d8c624d80a32b	Stu_019561ad86e30c64f126ab5954719c53	e63d770b0a0001dc49ba332799cf5ec1	7/29/18 14:23	America/New_York	37	ATTEMPT		RESULT		Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_2	2	7/29/18 14:10	submit_btn2 ButtonPressed	1	1	CORRECT	ans_table_c2																								UpdateTextField		(~p|~q)&(~p|q)		Good move				none	none	Single-KC		KC273		Carnegie Mellon University	csdmpf18						-1	2018-07-29 14:23:45.962 UTC	2018-07-29 14:23:46.59 UTC
1150	All Data	bbd9a17db7d0289cb1d82ace5fc1a7e0	Stu_019561ad86e30c64f126ab5954719c53	e63d770b0a0001dc49ba332799cf5ec1	7/29/18 14:23	America/New_York	0.5	ATTEMPT	tutor-performed			Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_2	2	7/29/18 14:10					group3																								setVisible		TRUE						none	none					Carnegie Mellon University	csdmpf18							2018-07-29 14:23:46.47 UTC	
1151	All Data	9839ea10062ee65fd0679b901c3cf4a4	Stu_019561ad86e30c64f126ab5954719c53	e63d770b0a0001dc49ba332799cf5ec1	7/29/18 14:23	America/New_York	0.5	ATTEMPT	tutor-performed			Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_2	2	7/29/18 14:10					ans_table_c2																								lock								none	none					Carnegie Mellon University	csdmpf18							2018-07-29 14:23:46.42 UTC	
1153	All Data	21afacacf657ea87d74d26b62c608db5	Stu_019561ad86e30c64f126ab5954719c53	e63d770b0a0001dc49ba332799cf5ec1	7/29/18 14:25	America/New_York	45	ATTEMPT		RESULT		Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_2	2	7/29/18 14:10	submit_btn3 ButtonPressed	1	0	INCORRECT	ans_table_c3																								UpdateTextField		(p!&q(&(~p|q)		"First syntax error found with highlighting and bold <b style=""background-color: #FFFF00"">character</b>: <br></br>(p!&q <b style=""background-color: #FFFF00"">(</b> &(~p|q)"				none	none	Single-KC		KC132		Carnegie Mellon University	csdmpf18						"[submit_btn3,ButtonPressed]"	2018-07-29 14:25:14.564 UTC	2018-07-29 14:25:14.690 UTC
1154	All Data	b9ebc60ec61451265623f95c31f446dc	Stu_019561ad86e30c64f126ab5954719c53	e63d770b0a0001dc49ba332799cf5ec1	7/29/18 14:25	America/New_York	2	ATTEMPT		RESULT		Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_2	2	7/29/18 14:10	submit_btn3 ButtonPressed	2	0	INCORRECT	ans_table_c3																								UpdateTextField		(p!&q(&(~p|q)		"First syntax error found with highlighting and bold <b style=""background-color: #FFFF00"">character</b>: <br></br>(p!&q <b style=""background-color: #FFFF00"">(</b> &(~p|q)"				none	none	Single-KC		KC132		Carnegie Mellon University	csdmpf18						"[submit_btn3,ButtonPressed]"	2018-07-29 14:25:16.634 UTC	2018-07-29 14:25:16.733 UTC
1155	All Data	9eef14690f29d4d2cc1d87e52b89e422	Stu_019561ad86e30c64f126ab5954719c53	e63d770b0a0001dc49ba332799cf5ec1	7/29/18 14:25	America/New_York	2	ATTEMPT		RESULT		Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_2	2	7/29/18 14:10	submit_btn3 ButtonPressed	3	0	INCORRECT	ans_table_c3																								UpdateTextField		(p!&q)&(~p|q)		Your input adds more steps than necessary to the simplification process. Find a more efficient simplification.				none	none	Single-KC		KC132		Carnegie Mellon University	csdmpf18						"[submit_btn3,ButtonPressed]"	2018-07-29 14:25:18.951 UTC	2018-07-29 14:25:19.118 UTC
1156	All Data	f6c2dd8b27fae9a2346f6b2ec7aa597a	Stu_019561ad86e30c64f126ab5954719c53	e63d770b0a0001dc49ba332799cf5ec1	7/29/18 14:25	America/New_York	8.667	ATTEMPT		RESULT		Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_2	2	7/29/18 14:10	submit_btn3 ButtonPressed	4	1	CORRECT	ans_table_c3																								UpdateTextField		~p|(~q&q)		Good move				none	none	Single-KC		KC132		Carnegie Mellon University	csdmpf18						-1	2018-07-29 14:25:44.316 UTC	2018-07-29 14:25:44.377 UTC
1157	All Data	fb498582b8c96bd9335fc04c1abee41f	Stu_019561ad86e30c64f126ab5954719c53	e63d770b0a0001dc49ba332799cf5ec1	7/29/18 14:25	America/New_York	8.667	ATTEMPT	tutor-performed			Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_2	2	7/29/18 14:10					group4																								setVisible		TRUE						none	none					Carnegie Mellon University	csdmpf18							2018-07-29 14:25:44.368 UTC	
1158	All Data	53db596106f70bfd42cc9a8234b5fc39	Stu_019561ad86e30c64f126ab5954719c53	e63d770b0a0001dc49ba332799cf5ec1	7/29/18 14:25	America/New_York	8.667	ATTEMPT	tutor-performed			Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_2	2	7/29/18 14:10					ans_table_c3																								lock								none	none					Carnegie Mellon University	csdmpf18							2018-07-29 14:25:44.365 UTC	
1159	All Data	8377c819766dbff1d905b319200d05cb	Stu_019561ad86e30c64f126ab5954719c53	e63d770b0a0001dc49ba332799cf5ec1	7/29/18 14:25	America/New_York	2	ATTEMPT		RESULT		Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_2	2	7/29/18 14:10	submit_btn4 ButtonPressed	1	1	CORRECT	ans_table_c4																								UpdateTextField		~p		Good move				none	none	Single-KC		KC100		Carnegie Mellon University	csdmpf18						-1	2018-07-29 14:25:50.605 UTC	2018-07-29 14:25:50.658 UTC
1160	All Data	8f954250ed9b92336d81ce46c7160a91	Stu_019561ad86e30c64f126ab5954719c53	e63d770b0a0001dc49ba332799cf5ec1	7/29/18 14:25	America/New_York	2	ATTEMPT	tutor-performed			Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_2	2	7/29/18 14:10					group5																								setVisible		TRUE						none	none					Carnegie Mellon University	csdmpf18							2018-07-29 14:25:50.649 UTC	
1161	All Data	343f6b7f6c50b19331c73d4274e8dc56	Stu_019561ad86e30c64f126ab5954719c53	e63d770b0a0001dc49ba332799cf5ec1	7/29/18 14:25	America/New_York	2	ATTEMPT	tutor-performed			Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_2	2	7/29/18 14:10					ans_table_c4																								lock								none	none					Carnegie Mellon University	csdmpf18							2018-07-29 14:25:50.644 UTC	
1162	All Data	2db90615d39b18db5f65780db89af6a9	Stu_019561ad86e30c64f126ab5954719c53	e63d770b0a0001dc49ba332799cf5ec1	7/29/18 14:25	America/New_York	2	ATTEMPT		RESULT		Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_2	2	7/29/18 14:10	done ButtonPressed	1	1	CORRECT	done																								ButtonPressed		-1						none	none	Single-KC		KC204		Carnegie Mellon University	csdmpf18						-1	2018-07-29 14:25:52.68 UTC	2018-07-29 14:25:52.90 UTC
1166	All Data	c26e824997005f737ff12868279d00fc	Stu_019561ad86e30c64f126ab5954719c53	e63d770b0a0001dc49ba332799cf5ec1	7/29/18 14:26	America/New_York	6	ATTEMPT		RESULT		Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_3	2	7/29/18 14:10	submit_btn1 ButtonPressed	1	0	INCORRECT	ans_table_c1																								UpdateTextField		((p | q) & p) | (p & q)		"Your answer is incorrect, here's a counterexample:<ul style=""margin: 0;""><li>p is false</li><li>q is true</li></ul>where the given expression and your expression evaluate differently."				none	none	Single-KC		KC8		Carnegie Mellon University	csdmpf18						"[submit_btn1,ButtonPressed]"	2018-07-29 14:26:40.175 UTC	2018-07-29 14:26:40.409 UTC
1167	All Data	aeae75ad6c0ec5428b70a3dd478a2ec6	Stu_019561ad86e30c64f126ab5954719c53	e63d770b0a0001dc49ba332799cf5ec1	7/29/18 14:27	America/New_York	20.667	ATTEMPT		RESULT		Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_3	2	7/29/18 14:10	submit_btn1 ButtonPressed	2	1	CORRECT	ans_table_c1																								UpdateTextField		((p | q) & p) | q		Good move				none	none	Single-KC		KC8		Carnegie Mellon University	csdmpf18						-1	2018-07-29 14:27:42.411 UTC	2018-07-29 14:27:42.514 UTC
1168	All Data	04c84f194e014470bf011c502a343caa	Stu_019561ad86e30c64f126ab5954719c53	e63d770b0a0001dc49ba332799cf5ec1	7/29/18 14:27	America/New_York	20.667	ATTEMPT	tutor-performed			Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_3	2	7/29/18 14:10					ans_table_c1																								lock								none	none					Carnegie Mellon University	csdmpf18							2018-07-29 14:27:42.491 UTC	
1169	All Data	4468d6b9c26991a3c83ddcf016877cfe	Stu_019561ad86e30c64f126ab5954719c53	e63d770b0a0001dc49ba332799cf5ec1	7/29/18 14:27	America/New_York	20.667	ATTEMPT	tutor-performed			Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_3	2	7/29/18 14:10					group2																								setVisible		TRUE						none	none					Carnegie Mellon University	csdmpf18							2018-07-29 14:27:42.498 UTC	
1170	All Data	849bf150aa9d9247805be3c670e6943a	Stu_019561ad86e30c64f126ab5954719c53	e63d770b0a0001dc49ba332799cf5ec1	7/29/18 14:28	America/New_York	28	ATTEMPT		RESULT		Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_3	2	7/29/18 14:10	submit_btn2 ButtonPressed	1	0	INCORRECT	ans_table_c2																								UpdateTextField		q		"Your answer is incorrect, here's a counterexample:<ul style=""margin: 0;""><li>q is false</li><li>p is true</li></ul>where the given expression and your expression evaluate differently."				none	none	Single-KC		KC170		Carnegie Mellon University	csdmpf18						"[submit_btn2,ButtonPressed]"	2018-07-29 14:28:10.135 UTC	2018-07-29 14:28:10.227 UTC
1171	All Data	a818d42c40a73459b7f698063905eb04	Stu_019561ad86e30c64f126ab5954719c53	e63d770b0a0001dc49ba332799cf5ec1	7/29/18 14:28	America/New_York	2	ATTEMPT		RESULT		Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_3	2	7/29/18 14:10	submit_btn2 ButtonPressed	2	0	INCORRECT	ans_table_c2																								UpdateTextField		p		"Your answer is incorrect, here's a counterexample:<ul style=""margin: 0;""><li>p is false</li><li>q is true</li></ul>where the given expression and your expression evaluate differently."				none	none	Single-KC		KC170		Carnegie Mellon University	csdmpf18						"[submit_btn2,ButtonPressed]"	2018-07-29 14:28:12.778 UTC	2018-07-29 14:28:12.862 UTC
1172	All Data	85a6060557505ed741c10ff5decd2b2e	Stu_019561ad86e30c64f126ab5954719c53	e63d770b0a0001dc49ba332799cf5ec1	7/29/18 14:28	America/New_York	8.333	ATTEMPT		RESULT		Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_3	2	7/29/18 14:10	submit_btn2 ButtonPressed	3	1	CORRECT	ans_table_c2																								UpdateTextField		p|q		Good move				none	none	Single-KC		KC170		Carnegie Mellon University	csdmpf18						-1	2018-07-29 14:28:37.413 UTC	2018-07-29 14:28:37.468 UTC
1173	All Data	3902bf2d953c8255bb89f48f69adc40e	Stu_019561ad86e30c64f126ab5954719c53	e63d770b0a0001dc49ba332799cf5ec1	7/29/18 14:28	America/New_York	8.333	ATTEMPT	tutor-performed			Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_3	2	7/29/18 14:10					ans_table_c2																								lock								none	none					Carnegie Mellon University	csdmpf18							2018-07-29 14:28:37.453 UTC	
1174	All Data	76647a4307913ebd2107ff9309abcb47	Stu_019561ad86e30c64f126ab5954719c53	e63d770b0a0001dc49ba332799cf5ec1	7/29/18 14:28	America/New_York	8.333	ATTEMPT	tutor-performed			Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_3	2	7/29/18 14:10					group3																								setVisible		TRUE						none	none					Carnegie Mellon University	csdmpf18							2018-07-29 14:28:37.457 UTC	
1175	All Data	60b1d73ae3f70250368860e42009f3ed	Stu_019561ad86e30c64f126ab5954719c53	e63d770b0a0001dc49ba332799cf5ec1	7/29/18 14:28	America/New_York	1	ATTEMPT		RESULT		Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_3	2	7/29/18 14:10	done ButtonPressed	1	1	CORRECT	done																								ButtonPressed		-1						none	none	Single-KC		KC9		Carnegie Mellon University	csdmpf18						-1	2018-07-29 14:28:38.975 UTC	2018-07-29 14:28:39.1 UTC
1633	All Data	90c09c5965b6d94ccc88cc594df0d5c0	Stu_01e9ed96aaeb8b7ada0c8c6eb78ca8a7	a58f55740a0001dc7479e107ea660e4d	7/17/18 0:15	America/New_York	7.5	ATTEMPT		RESULT		Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_2	2	7/17/18 0:10	submit_btn1 ButtonPressed	2	0	INCORRECT	done																								ButtonPressed		-1		"I'm sorry, but you are not done yet. Please continue working."				none	none	Single-KC		KC149		Carnegie Mellon University	csdmpf18						"[submit_btn1,ButtonPressed]"	2018-07-17 00:15:45.640 UTC	2018-07-17 00:15:45.672 UTC
1634	All Data	75915e47890a5f87fa04324daa6ebb1c	Stu_01e9ed96aaeb8b7ada0c8c6eb78ca8a7	a58f55740a0001dc7479e107ea660e4d	7/17/18 0:15	America/New_York	7.5	ATTEMPT		RESULT		Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_2	2	7/17/18 0:10	submit_btn1 ButtonPressed	1	0	INCORRECT	ans_table_c1																								UpdateTextField		~p & ~q		"Your answer is incorrect, here's a counterexample:<ul style=""margin: 0;""><li>p is false</li><li>q is true</li></ul>where the given expression and your expression evaluate differently."				none	none	Single-KC		KC149		Carnegie Mellon University	csdmpf18						"[submit_btn1,ButtonPressed]"	2018-07-17 00:15:45.583 UTC	2018-07-17 00:15:45.627 UTC
1635	All Data	ffa7fd8d19491ccc6669b74e064ba2b4	Stu_01e9ed96aaeb8b7ada0c8c6eb78ca8a7	a58f55740a0001dc7479e107ea660e4d	7/17/18 0:16	America/New_York	21	ATTEMPT		RESULT		Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_2	2	7/17/18 0:10	submit_btn1 ButtonPressed	3	0	INCORRECT	ans_table_c1																								UpdateTextField		q		"Your answer is incorrect, here's a counterexample:<ul style=""margin: 0;""><li>q is true</li><li>p is true</li></ul>where the given expression and your expression evaluate differently."				none	none	Single-KC		KC149		Carnegie Mellon University	csdmpf18						"[submit_btn1,ButtonPressed]"	2018-07-17 00:16:06.904 UTC	2018-07-17 00:16:06.927 UTC
1636	All Data	d57ab0e9071a379e329ca0227e835a41	Stu_01e9ed96aaeb8b7ada0c8c6eb78ca8a7	a58f55740a0001dc7479e107ea660e4d	7/17/18 0:16	America/New_York	4	ATTEMPT		RESULT		Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_2	2	7/17/18 0:10	submit_btn1 ButtonPressed	4	0	INCORRECT	ans_table_c1																								UpdateTextField		p		"Your answer is incorrect, here's a counterexample:<ul style=""margin: 0;""><li>p is true</li><li>q is false</li></ul>where the given expression and your expression evaluate differently."				none	none	Single-KC		KC149		Carnegie Mellon University	csdmpf18						"[submit_btn1,ButtonPressed]"	2018-07-17 00:16:10.267 UTC	2018-07-17 00:16:10.288 UTC
1637	All Data	50d8cabc4f4d9d4895113a6c3e6bfe7f	Stu_01e9ed96aaeb8b7ada0c8c6eb78ca8a7	a58f55740a0001dc7479e107ea660e4d	7/17/18 0:16	America/New_York	2	ATTEMPT		RESULT		Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_2	2	7/17/18 0:10	submit_btn1 ButtonPressed	5	0	INCORRECT	ans_table_c1																								UpdateTextField		~q		"Your answer is incorrect, here's a counterexample:<ul style=""margin: 0;""><li>q is true</li><li>p is false</li></ul>where the given expression and your expression evaluate differently."				none	none	Single-KC		KC149		Carnegie Mellon University	csdmpf18						"[submit_btn1,ButtonPressed]"	2018-07-17 00:16:12.578 UTC	2018-07-17 00:16:12.597 UTC
1638	All Data	9c1323f4fbacd68e0568cffb95594f2f	Stu_01e9ed96aaeb8b7ada0c8c6eb78ca8a7	a58f55740a0001dc7479e107ea660e4d	7/17/18 0:16	America/New_York	1	ATTEMPT		RESULT		Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_2	2	7/17/18 0:10	submit_btn1 ButtonPressed	6	1	CORRECT	ans_table_c1																								UpdateTextField		~p		Good move				none	none	Single-KC		KC149		Carnegie Mellon University	csdmpf18						-1	2018-07-17 00:16:15.292 UTC	2018-07-17 00:16:15.303 UTC
1639	All Data	df28e2d95206ead43d200125bed02e5f	Stu_01e9ed96aaeb8b7ada0c8c6eb78ca8a7	a58f55740a0001dc7479e107ea660e4d	7/17/18 0:16	America/New_York	1	ATTEMPT	tutor-performed			Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_2	2	7/17/18 0:10					group2																								setVisible		TRUE						none	none					Carnegie Mellon University	csdmpf18							2018-07-17 00:16:15.301 UTC	
1640	All Data	8191952d7e565850305bcaa1a8409c7e	Stu_01e9ed96aaeb8b7ada0c8c6eb78ca8a7	a58f55740a0001dc7479e107ea660e4d	7/17/18 0:16	America/New_York	1	ATTEMPT	tutor-performed			Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_2	2	7/17/18 0:10					ans_table_c1																								lock								none	none					Carnegie Mellon University	csdmpf18							2018-07-17 00:16:15.300 UTC	
